street,city,County,State,zip,x,y
"Parking lot of, Del Norte Fairgrounds parking lot",Crescent City,Del Norte,California,95531,-124.147,41.8548
1235 N Peters St,New Orleans,Orleans,Louisiana,70116,-90.058542,29.960534999999997
407 Bay Road,Sharon,Norfolk,Massachusetts,02067,-71.186029,42.117515999999995
"Grube's north lot, corner 2nd Street & 1st Avenue W",Cresco,Howard,Iowa,25136,-92.1187,43.371
101 2nd Ave SW,Cresco,Howard,Iowa,52136,-92.11878399999999,43.371656
202 Elk Ave #8,Crested Butte,Gunnison,Colorado,81224,-106.9874825,38.869755
"McKinley Park, between W. Adams & N. Park Sts.",Creston,Union,Iowa,50801,-94.3828,41.0524
Spanish Trail Park,Crestview,Okaloosa,Florida,32539,-86.5631,30.7734
64 W. Oregon Ave (1st St. and Oregon Ave.),Creswell,Lane,Oregon,97426,-123.018482,43.918649
1321 Main St.,Crete,Will,Illinois,60417,-87.6314,41.4456
"Pamida parking lot, 930 Main Ave.",Crete,Saline,Nebraska,68333,-96.6777,40.5716
12320 Olive Blvd,Creve Coeur,St. Louis,Missouri,63141,-90.4564338,38.672838899999995
721 N LaSalle St.,Chicago,Cook,Illinois,60654,-87.63239499999999,41.895206
721 N. LaSalle St.,Chicago,Cook,Illinois,60654,-87.63237480000001,41.8951778
14400 North Route Z,Centralia,Boone,Missouri,65240,-92.136565,39.118058000000005
F.M. Old Elementary School,Maury City,Crockett,Tennessee,38050,-89.2205,35.8149
1691 Crofton Pkwy,Crofton,Anne Arundel,Maryland,21114,-76.696765,39.004666
1 River Rd,Cromwell,Middlesex,Connecticut,06416,-72.64563670000001,41.5849274
Bremer Bank,Crookston,Polk,Minnesota,56716,-96.6094,47.7746
Main St.,Crosby,Divide,North Dakota,58730,-103.29700000000001,48.9088
1690 Old Highway 6,Cross ,Berkeley,South Carolina,29436,-80.191506,33.363886
705 E. Union Ave.,Wynne,Cross,Arkansas,72396,-90.78618,35.22325
4219 Old Post Road,Charlestown,Washington,Rhode Island,02813,-71.6337632,41.382625399999995
1700 Main Street,Cross Plains,Dane,Wisconsin,53528,-89.651579,43.113876
900 Block of Main Street,Crossett,Ashley,Arkansas,71635,-91.961473,33.123917
8040 Upper Miamisburg Rd,Miamisburg,Montgomery,Ohio,45342,-84.3289,39.6435
15600 N.E. 8th Street,Bellevue,King,Washington,98008,-122.129962,47.61974
480 Hempstead Avenue,Malverne,Nassau,New York,11565,-73.664419,40.679365000000004
111West B. St.,Shoshone,Lincoln,Idaho,83352,-114.40848799999999,42.933364000000005
480 Hempstead Ave,Malverne,Nassau,New York,11701,-73.664301,40.679753000000005
Anne St. at University Blvd. E,Takoma Park,Montgomery,Maryland,20912,-76.990169,38.990479
1536 Desoto Ave ,Clarksdale ,Coahoma,Mississippi,38614,-90.555756,34.178923
203 E. Washington Street,Stockton,San Joaquin,California,95202,-121.287228,37.950864
Lot A off of Croton Point Ave. by the Croton-Harmon Train Station,Croton-on-Hudson,Westchester,New York,10520,-73.883266,41.192703
The Merc Parking Lot,Crouch,Boise,Idaho,83602,-115.97,44.1135
South Main Street,Crown Point,Lake,Indiana,46307,-87.3647,41.4155
23589 State Route WW,Ste. Genevieve,Ste. Genevieve,Missouri,63670,-90.179753,37.778019
Corner of Jarmans Gap Rd. & Crozet Ave.,Crozet,Albemarle,Virginia,22932,-78.7019,38.068000000000005
105 Bailey Rd,Crystal City,Jefferson,Missouri,63019,-90.3786887,38.218722799999995
2000 Crystal Drive,Crystal City,Arlington,Virginia,22202,-77.049286,38.85672
"1754 Alpine Avenue, N.W.",Grand Rapids,Kent,Michigan,49504,-85.6884,42.9957
831 S. Main Street parking lot,Crystal,Montcalm,Michigan,48818,-84.9149,43.2581
"Depot Park, Woodstock & Williams Streets",Crystal Lake,McHenry,Illinois,60014,-88.31701,42.243752
West Railroad Ave,Crystal Springs,Copiah,Mississippi,39059,-90.358772,31.987521
2933 Burnside Rd.,North Branch,Lapeer,Michigan,48461,-83.2363667339087,43.206610009074204
NM 126 St. Francis of Assisi Park,Cuba,Sandoval,New Mexico,87013,-106.9584,36.022220000000004
4700 South Packard Avenues (Municipal parking lot),Cudahy,Milwaukee,Wisconsin,53110,-87.9163,43.0376
Cuero City Park Entrance,Cuero,Dewitt,Texas,77954,-97.1686,28.9695
472 Water Street,Oakland ,Alameda,California,94607,-122.27718600000001,37.794714
170 Market Place Drive,TROY,Lincoln,Missouri,63379,-90.97203329999999,38.988586
30-15 Seagirt Blvd. and Beach 31st St.,Queens,Queens,New York,11691,-73.547802,40.819525
Beach 58th Street & Beach Channel Drive,Bronx,Queens,New York,10468,-73.7885,40.5947
"E. Main St. & Commerce St.,Adjacent to train depot",Culpeper,Culpeper,Virginia,22701,-77.9969,38.4714
Main & Culver,Culver City,Los Angeles,California,90232,-118.396,34.0247
Highway 70,Crossville,Cumberland,Tennessee,38557,-84.9026,35.9677
11501 E Washington Street,Indianapolis,Marion,Indiana,46229,-85.961458,39.775834
6101 GRELOT RD,MOBILE,MOBILE,Alabama,36609,-88.186,30.660999999999998
500 Jackson St.,Columbus,Bartholomew,Indiana,47201,-85.92222,39.2037
Highway 231 & Center Avenue,Curtis,Frontier,Nebraska,69025,-100.515,40.6311
Northwest corner of Braodway & Cleveland,Cushing,Payne,Oklahoma,74023,-96.7727,35.98
Mt Rushmore Rd,Custer City,Custer,South Dakota,57730,-103.60143000000001,43.765621
20002 Old Cutler Road,Miami,Miami-Dade,Florida,33175,-80.3302,25.5812
1201 Grant Avenue,Cuyahoga Falls,Summit,Ohio,44223,-81.49769,41.12785
"Flat Run Veterans Park, Oddville Ave",Cynthiana,Harrison,Kentucky,41031,-84.286594,38.394415
"50 E. Hospital St., Ste. 5",Manning,Clarendon,South Carolina,29102,-80.211023,33.687152000000005
Fulton St btwn Richmond and Logan,Brooklyn,New York,New York,11207,-73.95,40.65
10383 Automall Parkway,D'Iberville,Harrison,Mississippi,39540,-88.9003,30.4341
E 47 St & 2 Ave,New York,New York,New York,10017,-73.9698797,40.7529921
Hancock Park,Dahlonega,Lumpkin,Georgia,30533,-83.985219,34.533726
631 N. Midlothian,Mundelein,Lake,Illinois,60060,-88.01785799999999,42.274710999999996
14090 Gemini Way,Dale City,Prince William,Virginia,22193,-77.34107940000001,38.6471464
Daleville Avenue and Old Highway 134,DALEVILLE,Dale,Alabama,36322,-85.728336,31.309112
50 W. Washington St.,Chicago,Cook,Illinois,60602,-87.626,41.8851
920 S. Harwood Rd.,Dallas,Dallas,Texas,75201,-96.789378,32.777649
236 West Dallas Street,Dallas,Barron,Wisconsin,54733,-91.817679,45.258833
Hwy 280 and Serramonte Blvd.,Daly City,San Mateo,California,94015,-122.47041000000002,37.674302000000004
DRA Round Top Farm and Rising Tide Co-Op ,Damariscotta,Lincoln,Maine,04543,-69.513212,44.03883
20100 SE Highway 212,Damascus,Clackamas,Oregon,97089,-122.455868,45.417043
102 Old Church Road,Danbury,Stokes,North Carolina,27016,-80.2025,36.4097
Kennedy Avenue,Danbury,Fairfield,Connecticut,06810,-73.45536,41.396387
15 North Road,Danbury,Merrimack,New Hampshire,03230,-71.862337,43.526740000000004
Gay Street and Meeting Street,Dandridge,Jefferson,Tennessee,37725,-83.416446,36.016194
One John Nolen Drive,Madison,Dane,Wisconsin,53703,-89.38027,43.071445000000004
"200 block of Martin Luther King, Jr. Blvd",Madison,Dane,Wisconsin,53703,-89.381847,43.072775
330 W. Mifflin St.,Madison,Dane,Wisconsin,53703,-89.3895617,43.0731321
"Capitol Square, Downtown",Madison,Dane,Wisconsin,53701,-89.384251,43.074625
286 Mendon St,Blackstone,Worcester,Massachusetts,01504,-71.5542,42.06100000000001
"Killingly Memorial Library, 25 Westcott Road",Danielson,Windham,Connecticut,06239,-71.8776,41.8091
87 Elm Street,Danvers ,Essex,Massachusetts,01923,-70.938435,42.563241999999995
15684 Body Rd.,Danville,Knox,Ohio,43014,-82.2445,40.4553
10 S Jefferson St.,Danville,Hendricks,Indiana,46122,-86.5250684,39.7606302
51 Peacham Road,Danville,Caledonia,Vermont,05828,-72.1396,44.4108
629 Craghead Street,Danville,Danville,Virginia,24541,-79.3838932,36.5840182
106 S Main Street,Darby,Ravalli,Montana,59829,-114.178,46.0204
"Mechanic Street, Behind Fire House",Darien,Fairfield,Connecticut,06810,-73.4828,41.0753
7100 Claredon Hills Road,Darien,DuPage,Illinois,60561,-87.95475090000001,41.7594159
"Rex Field, adjacent to St. Peters Church, 351 Elm Street, Padanaram Village",Dartmouth,Bristol,Massachusetts,02747,-70.94434,41.58768
East Bienville Blvd at Cadillac Square Park,Dauphin Island,Mobile,Alabama,36528,-88.1594,30.2507
Oak at 6th Street,Davenport,Thayer,Nebraska,68335,-97.814511,40.3128771
320 W. Kimberly Rd.,Davenport,Scott,Iowa,52806,-90.57096800000001,41.562896
Courthouse parking lot,David City,Butler,Nebraska,68632,-97.1286,41.2531
100 E. Jefferson St.,Bloomfield,Davis,Iowa,52537,-92.41424599999999,40.751571999999996
4th and C Sts.,Davis,Yolo,California,95616,-121.7439932,38.545451
Cornier of Shoppers Alley & Second Street,Davison,Genesee,Michigan,48423,-83.516,43.0317
298 Academy Avenue,Dawsonville,Dawson,Georgia,30534,-84.119596,34.420215999999996
Ash  and 8th street,Dawson ,Lac qui Parle,Minnesota,56232,-96.0574386,44.9259444
3105 John Wayland Highway,Dayton,Rockingham,Virginia,22824,-78.8763,38.4258
Washington Street,Dayton,Rhea,Tennessee,37321,-85.0132689,35.490505
Hwy 50 and 2nd Ave.,Dayton,Lyon,Nevada,89403,-119.591026,39.238469
100 E Magnolia Ave,Daytona Beach,Volusia,Florida,32114,-81.016582,29.21078
207 W. Franklin Ave,Dayville,Grant,Oregon,97825,-119.537,44.4701
"1309 5th Street, NE",Washington,District of Columbia,District of Columbia,20002,-76.998,38.9088
144 N Wisconsin St,De Pere,Brown,Wisconsin,54115,-88.0592,44.4496
1004 Rock Rd,De Soto,Jefferson,Missouri,63020,-90.56478100000001,38.138882
200 E. Park Avenue,Hereford,Deaf Smith,Texas,79045,-102.404,34.8221
5965 Deale Churchton Road,Deale,Anne Arundel,Maryland,20751,-76.55269100000001,38.78112
1095 Dean Street,Brooklyn,New York,New York,11216,-73.9537658,40.6772544
231 East Monroe Street,Decatur,Adams,Indiana,46733,-84.92007,40.83229
In the park downtown at Phelps & St Marys,Decatur,Van Buren,Michigan,49045,-85.9774,42.1119
308 Clairmont Ave. ,Decatur ,DeKalb,Georgia,30030,-84.2974842,33.7788269
670 High Street,Dedham,Norfolk,Massachusetts,02026,-71.17718,42.248995
"The Stone House, 245 Main Street",Deep River,Middlesex,Connecticut,06417,-72.436,41.3868
519 Higgins ,Deer Lodge ,Powell,Montana,59722,-112.7313469,46.4023382
Sunset Ave. and Brook Rd.,Westhampton Beach,Suffolk,New York,11978,-72.6446,40.815
10 Church Street,Deerfield,Rockingham,New Hampshire,03037,-71.243012,43.13333
Deerfield Rd. & Robert York Ave.,Deerfield,Lake,Illinois,60015,-87.8489,42.1676
St. Rt. 66 south of U.S. 24,Defiance,Defiance,Ohio,43512,-84.36191099999999,41.302071000000005
121 W. High Street (S.R. 2),Hicksville,Defiance,Ohio,43526,-84.762354,41.292254
S.R. 127 south of S.R. 18,Sherwood,Defiance,Ohio,43556,-84.55314200000001,41.2899
Jefferson Street and Stevenson Street,DeForest,Dane,Wisconsin,53532,-89.338933,43.245438
1613 Trindle Road,Carlisle,Cumberland,Pennsylvania,17013,-77.1262,40.1964
VFW Fairgrounds,Fort Payne,Dekalb,Alabama,35967,-85.7107,34.4256
205 E Bryant St,Smithville ,DeKalb,Tennessee,37199,-85.8122196,35.9537391
2nd and Locust Streets,DeKalb,DeKalb,Illinois,60115,-88.7521505,41.9313509
1050 Camino Del Mar,Del Mar,Tulare,California,92014,-117.264,32.9548
1410 Del Monte Center,Monterey,Monterey,California,93940,-121.92703940000001,36.9872756
3525 Norwood Ave.,Sacramento,Sacramento,California,95838,-121.457687,38.630951
Mt. Vernon & Oxford Ave.,Alexandria,Alexandria,Virginia,22301,-77.058777,38.826863
Waukesha County City parking lot on Main Street,Delafield,Waukesha,Wisconsin,53183,-88.4026,43.0632
300 S. Sycamore,Delano,Sedgwick,Kansas,67213,-97.346623,37.68166
1508 Garces Hwy.,Wasco,Kern,California,93280,-119.428,35.760999999999996
Downtown Delano,Delano,Wright,Minnesota,55328,-93.7937,45.0357
Walworth Avenue,Delavan,Walworth,Wisconsin,53115,-88.647738,42.633169
1727 Delaware Avenue,Wilmington,New Castle,Delaware,19806,-75.563149,39.758952
5 1/2 Main Street  - Suite 3,Delhi,Delaware,New York,13753,-74.921231,42.270328000000006
"236 Pennsylvania Ave., Delaware Fairgounds",Delaware,Delaware,Ohio,43015,-83.0689,40.2939
700 E. Butler Ave,Doylestown,Bucks,Pennsylvania,18901,-75.1518,40.2916
605 S. Railroad,Delcambre,Iberia,Louisiana,70528,-91.982546,29.941990000000004
"Court House Square, Main St,",Delhi,Delaware,New York,13753,-74.914327,42.2792339
332 Kenwood Ave.,Delmar,Albany,New York,12054,-73.82553349999999,42.6198658
95 NE 1st Avenue,Delray Beach,Palm Beach,Florida,33444,-80.07162,26.462504
100 Roger Road,Marks,Quitman,Mississippi,38646,-90.2700349,34.2477182
Hwy 80 East,Dempolis,Marengo,Alabama,36732,-87.8346,32.5148
1551 Vineyard Road,Roseville,Placer,California,95678,-121.3031,38.74163
1st Avenue N. & 15th Street,Denison,Crawford,Iowa,51442,-95.3508,42.02
317 W. Mulberry St,Denton,Denton,Texas,76201,-97.136403,33.213198999999996
4th and Gay Streets,Denton,Caroline,Maryland,21629,-75.830512,38.886540000000004
100 S. Fifth Avenue,Denton,Caroline,Maryland,21629,-75.8304,38.8843
200 Santa Fe Drive,Denver,Denver,Colorado,80223,-104.998287,39.719549
Bloomfield Ave Parking Lot,Denville,Morris,New Jersey,07834,-74.476083,40.891009000000004
107 2nd Street,Deposit,Delaware,New York,13754,-75.42491,42.062290000000004
Sturgeon Street and Reed Street,Moberly,Randolph,Missouri,65270,-92.43669820000001,39.4197139
200 West Depot Street ,Greeneville,Greene,Tennessee,37743,-82.8328796,36.1639669
206 N. Washington Ave.,DeRidder,Beauregard,Louisiana,70634,-93.286,30.848000000000003
14 Manning Street,Derry,Rockingham,New Hampshire,03038,-71.326375,42.882356
22307 Dock Ave S,Des Moines,King,Washington,98198,-122.329264,47.401657
Mission Springs Park,Desert Hot Springs,Riverside,California,92241,-116.49799999999999,33.9418
101 W. Main Street,Desoto,Jackson,Illinois,62924,-89.228629,37.816439
10117 Hwy. 171,Grand Cane,De Soto,Louisiana,71032,-93.75589599999999,32.062598
915 N. Central Ave.,Phoenix,Maricopa,Arizona,85004,-112.073453,33.458307
"Roosevelt Park, Devils Lake",Devils Lake,Ramsey,North Dakota,58380,-98.8711,48.1131
2581 South Highway 69 (N of Main St),Humboldt,Yavapai,Arizona,86329,-112.25200000000001,34.4864
600 Atlantic Ave,Boston,Middlesex,Massachusetts,02210,-71.055537,42.352928999999996
Bridge and Main St,Dewitt,Clinton,Michigan,48820,-84.5691,42.8422
Lincoln Park,DeWitt,Clinton,Iowa,52742,-90.49600000000001,41.5309
3233 Alpine,Dexter,Washtenaw,Michigan,48130,-83.889499,42.339166
29 Grove Street,Dexter,Penobscot,Maine,04930,-69.289062,45.026146999999995
"Dexter State Recreation Site Highway 58 milepost 11 Dexter, Oregon",Dexter,Lane,Oregon,97431,-122.815,43.9173
Mitchell Dr. & N. Wiget Lane,Walnut Creek,Contra Costa,California,94598,-122.02748999999999,37.927966
Calvary Chapel Church,Diamond Bar,Los Angeles,California,91765,-119.781,36.8199
Moyamensing Ave at Morris Street,Philadelphia,Philadelphia,Pennsylvania,19147,-75.151261,39.927058
284 Cowan Road ,Dickson ,Dickson,Tennessee,37055,-87.387733,36.062726
20 N. Montana Street,Dillon ,Beaverhead,Montana,59725,-112.63711200000002,45.218053999999995
Buffalo Street,Dillon,Summit,Colorado,80435,-105.54799999999999,38.9973
117 N. Baltimore Street,Dillsburg,York,Pennsylvania,17019,-77.036579,40.112875
136 N. Bridge St.,Dimondale,Eaton,Michigan,48821,-84.64839,42.64605
Hwy. 36 & Dinsmore Store,Hayfork,Humboldt,California,96041,-123.38,40.4157
L & Tulare St.,Dinuba,Tulare,California,93618,-119.389,36.5464
300 W Elm St.,Sycamore,Dekalb,Illinois,60178,-88.6871,41.9877
Grove St. and Divisadero St.,San Francisco ,San Francisco,California,94117,-122.43801299999998,37.775935100000005
1326 Grove St.,San Francisco,San Francisco,California,94117,-122.4384765,37.7759726
5221 Church Road,Ann Arbor,Washtenaw,Michigan,48105,-83.65634,42.312497
12740 Kingston Pike,Knoxville,Knox,Tennessee,37934,-84.2094222222222,35.8671361111111
317 W. Third St.,Dixon,Lee,Illinois,61021,-89.48527299999999,41.841048
580 Taylor Ave.,Annapolis,Anne Arundel,Maryland,21401,-76.504862,38.983990999999996
302 West Folger Street,Dobson,Surry,North Carolina,27017,-80.722911,36.394426
410 Main Street,North Little Rock ,Pulaski,Arkansas,72114,-92.267351,34.757408
(Parking Lot) Between Main St. and Helmer Ave,Dolgeville,Herkimer,New York,13329,-74.7716754,43.1120037
Railroad Park on Main Street,Donnellson,Lee,Iowa,52625,-91.5645,40.6462
Hwy 181,Sycamore,Ozark,Missouri,65760,-92.272695,36.717612
"Park Street, Shopping Center Parking Lot",Dorchester,Suffolk,Massachusetts,02124,-71.0615,42.2987
6 Norfolk St ,Dorchester,Suffolk,Massachusetts,02124,-71.07191800000001,42.290065999999996
"Dorchester House, 1353 Dorchester  Ave.",Dorchester,Suffolk,Massachusetts,02122,-71.05919229999999,42.304292100000005
461 Blue Hill Ave.,Dorchester,Suffolk,Massachusetts,02121,-71.083,42.3091
283 Main Street,Douglas,Worcester,Massachusetts,MA,-71.7136899,42.072186200000004
1000 West Paterson Street,Kalamazoo,Kalamazoo,Michigan,49007,-85.59845200000001,42.303569
2005 Douglass Blvd,Louisville,Jefferson,Kentucky,40205,-85.694272,38.225491999999996
8700 hospital drive,douglasville,Douglas,Georgia,30135,-84.73058979999999,33.7434934
Hwy 18 & 67,Dousman,Waukesha,Wisconsin,53118,-88.4624156,43.0224474
1039 South St,Dover-Foxcroft,Piscataquis,Maine,04426,-69.23050699999999,45.181430999999996
550 Central Avenue,Dover,Rockingham,New Hampshire,03820,-70.87597099999999,43.200765000000004
103 W Franklin Street,Downs,McLean,Illinois,61736,-88.87268399999999,40.394484999999996
Park Avenue and Harrison Avenue,Allen Park,Wayne,Michigan,48101,-83.208989,42.254801
1st Avenue North,Amory,Monroe,Mississippi,38821,-88.4862,33.986999999999995
Center Street Promenade and Lemon Street,Anaheim,Orange,California,92805,-117.9154545,33.8339308
"100 College Avenue, City Center Plaza",Appleton,Outagamie,Wisconsin,54911,-88.4060597,44.26246629999999
215 E Front Street,Arlington ,Tarrant,Texas,76010,-97.104737,32.737817
Corner of Ellicott(Route 63) & Center Streets,City of Batavia,Genesee,New York,14020,-78.1827,42.9948
318 Sixth St,Bay City,Bay,Michigan,48708,-83.8877893,43.596976399999996
1501 Bay Street,Beaufort,Beaufort,South Carolina,29902,-80.679578,32.433759
124 South Juliana Street,Bedford,Bedford,Pennsylvania,15522,-78.503873,40.018113
"300 block of State Street, 400 block of East Grand Avenue, Gantry parking lot",Beloit,Rock,Wisconsin,53511,-89.035534,42.499658000000004
Center Street & Martin Luther King Jr. Way,Berkeley,Alameda,California,94704,-122.2727922,37.869691499999995
52 Court Street,Binghamton,Broome,New York,13901,-75.9095,42.0985
200 N. Main Street,Bloomington,McLean,Illinois,61701,-88.9941015,40.4800126
101 S. Madison St.,Bloomington ,McLean,Illinois,61701,-88.9964823,40.4780683
South Main Street,Bowling Green,Wood,Ohio,43402,-83.65003100000001,41.372751
Main Street at Court and Church Street,Buffalo,Erie,New York,14203,-78.87491999999999,42.884170000000005
 Washington & Pine Streets,Burlington,Racine,Wisconsin,53105,-88.276064,42.678463
400 East Collins Drive,Casper,Natrona,Wyoming,82601,-106.320651,42.84809
Broadway between 2nd & 5th Street,Chico,Butte,California,95928,-121.840525,39.728974
6th & Cherry Streets,Winston Salem,Forsyth,North Carolina,27109,-80.2476,36.1012
140 East Center Street (approximately),Clearfield,Davis,Utah,84015,-112.01799999999999,41.1073
500 block Cleveland St.,Clearwater ,Pinellas,Florida,33757,-82.7998012,27.965733399999998
691 W. Montrose Street,Clermont,Lake,Florida,34712,-81.767753,28.554926000000002
"5th Street Arcades, 530 Euclid Avenue",Cleveland,Cuyahoga,Ohio,44115,-81.689137,41.4991795
222 West James St.,Columbus,Columbia,Wisconsin,53925,-89.0159,43.3396
100 Baltimore Street,Cumberland,Allegany,Maryland,21502,-76.8194,39.0641
117 North Selvidge Street,Dalton,Whitfield,Georgia,30720,-84.9709565,34.771746
319 N. Vermilion Street,Danville,Vermilion,Illinois,61832,-87.62994,40.130390000000006
400 West Chestnut,Denison,Grayson,Texas,75020,-96.540384,33.754246
Main Street Train Station on Burlington Avenue,Downers Grove,DuPage,Illinois,60515,-88.008889,41.795248
201 E. Main Street,El Cajon,San Diego,California,92020,-116.96023899999999,32.794701
200 North Grove Avenue,Elgin,Kane,Illinois,60120,-88.287334,42.041325
Oak at University,Evanston,Cook,Illinois,60201,-87.686121,42.050912
Second & Sycamore,"Evansville,IN",Vanderburgh,Indiana,47713,-87.57395799999999,37.971315000000004
109 Spruce Street,Framington,Dakota,Minnesota,55024,-93.1478,44.6383
Monroe Street & Park Avenue,Tallahassee,Leon,Florida,32302,-84.2807,30.4422
201 S 4th Street,Murray,Calloway,Kentucky,42071,-88.30248399999999,36.609871999999996
205 North 5th Street,Zanesville,Muskingum,Ohio,43701,-82.0066,39.9439
4th & Main Street,Walla Walla ,Walla Walla,Washington,99362,-118.341568,46.066187
Spencer Street,West Liberty,Muscatine,Iowa,52776,-91.26194699999999,41.569958
Corner of State and Erie St.,Racine,Racine,Wisconsin,53406,-87.7881,42.7311
South Lawn of the Main Library,Tucson,Pima,Arizona,85719,-110.97200000000001,32.2235
2 W St. George Blvd,St. George,Washington,Utah,84770,-113.5837604,37.1099041
5th at Main St.,Riverside,Riverside,California,92522,-117.372487,33.984884
Muncipale parking lot on Franklin St. from funeral home,Dobson,Surry,North Carolina,27017,-80.498,36.2434
600 W. Rosedale,Fort Worth,Tarrant,Texas,76141,-97.3308,32.7332
4800 S. Hulen Street,Fort Worth,Tarrant,Texas,76141,-97.3962,32.6769
Corner of Church & Main St.,Laurinburg,Rutherford,North Carolina,28353,-79.4628,34.7742
8101 Camp Bowie,Fort Worth,Tarrant,Texas,76141,-97.4555,32.7235
Corner of Lake Avenue & Superior Street,Duluth ,St. Louis,Minnesota,55802,-92.098221,46.786854999999996
Court Avenue and 3rd Street,Des Moines,Polk,Iowa,50309,-93.6204386,41.585320200000005
101 Melody Lane,fort pierce,St. Lucie,Florida,34950,-80.321655,27.448944
101 N Main St,Victoria,Victoria,Texas,77901,-97.006456,28.799726
Main Street from Western Ave. to Sheboygan St.,Fond du Lac,Fond du Lac,Wisconsin,54935,-88.446973,43.775364
Main Street Plaza ,Fond du Lac,Fond du Lac,Wisconsin,54935,-88.447092,43.777853
Main Street and Spring Street,Gainesville,Hall,Georgia,30501,-83.82713829999999,34.298837899999995
100 Court Street,Gaylord,Otsego,Michigan,49735,-84.67587569999999,45.0273917
200 S. Washington St.,Green Bay,Brown,Wisconsin,54301,-88.017292,44.512622
Corner of 4th and Broadway,Greenville ,Darke,Ohio,45331,-84.6314568,40.1007398
 220 Union Square,Hickory ,Catawba,North Carolina,28601,-81.34092700000001,35.732301
7910 West Park Avenue,Houma,Terrebonne,Louisiana,70360,-90.7437249,29.6086166
8th and Church St.,Indiana,Indiana,Pennsylvania,15701,-79.1547,40.6216
117 W. Louis Glick Hwy,Jackson,Jackson,Michigan,49201,-84.40602,42.248764
Cherry Street,Jamestown,Chautauqua,New York,14701,-79.242358,42.095708
Main Street,Johnstown,Cambria,Pennsylvania,15901,-78.91827099999999,40.325608
101 Crooks Ave.,Kaukauna ,Outagamie,Wisconsin,54130,-88.27098120000001,44.2771746
 207 Grand Ave,Laramie,Albany,Wyoming,82070,-105.59441559999999,41.3110764
Central Ave and Commerce Street,Laurel,Jones,Mississippi,39440,-89.13111049999999,31.692530699999995
113 SE Douglas Street,Lee's Summit,Jackson,Missouri,64063,-94.37711,38.91425
"F Street, between 5th and 6th Streets",Lincoln,Placer,California,95648,-121.29161,38.892264000000004
2103 Main Street / Historic Red Caboose Site,Madison ,Madison,Mississippi,39110,-90.1153638,32.4618086
5th & Humboldt,Manhattan,Riley,Kansas,66502,-96.5635,39.1806
Cico Park,Manhattan,Riley,Kansas,66503,-96.6197,39.2015
435 Ionia Ave. SW,Grand Rapids,Kent,Michigan,49525,-85.670847,42.954529
112 S. Third St.,Marquette,Marquette,Michigan,49855,-87.396111,46.542915
214 E Euclid St,McPherson,McPherson,Kansas,KS,-97.66445999999999,38.37133
441 Third Street,Mead ,Weld,Colorado,80542,-104.99948799999999,40.237293
1900 South Harbor city Blvd,Melbourne,Brevard,Florida,32940,-80.603826,28.079208
Terrace Avenue,Middleton,Dane,Wisconsin,53562,-89.516386,43.094525
Erie Way from Cottage St. to Montgomery St.,Middletown,Orange,New York,10940,-74.413365,41.448592
Corner Malcolm and Hwy 69,Newport,Jackson,Arkansas,72112,-91.27785659999999,35.6062953
Grant Avenue and First Street,Novato ,Marin,California,94947,-122.57266899999999,38.108033
W Broadway - Barclay St & Park Pl,New York,New York,New York,10271,-74.00817359999999,40.711952200000006
Near corner of Howard & Michigan Streets,Petoskey,Emmet,Michigan,49770,-84.9555,45.3733
104 Dover Street,Pineville,Mecklenburg,North Carolina,28134,-80.89126230000001,35.0857891
City-Country Building,Pittsburgh,Allegheny,Pennsylvania,15219,-79.9959,40.4406
First and Eagle Street,Pittsfield ,Berkshire,Massachusetts,01201,-73.25035629999999,42.4511915
400 Main Street,Poplar Bluff,Butler,Missouri,63901,-90.39303000000001,36.759334
2 Kennedy Plaza,Providence ,Providence,Rhode Island,02903,-71.411813,41.825232
90 N. Main St.,Rochester,Strafford,New Hampshire,03867,-71.031,43.2989
Corner of E. Third & Water,Rochester,Oakland,Michigan,48307,-83.13195,42.679095000000004
101 Cherry St. ,Rogers ,Benton,Arkansas,72756,-94.11585500000001,36.33035
507 S. Washington Avenue (M-13),Saginaw,Saginaw,Michigan,48601,-83.941012,43.428552
Parrott Street  and E. 14th Street,San Leandro,Alameda,California,94577,-122.15361399999999,37.72235
3rd Street and Bush Street,Santa Ana,Orange,California,92701,-117.86606699999999,33.747265000000006
41 Chestnut Street,Sharon,Mercer,Pennsylvania,16146,-80.5106,41.2324
American Legion Square,Sikeston,Scott,Missouri,63801,-89.5887,36.8767
300 Broad Street,South Boston ,Halifax,Virginia,24589,-78.900165,36.697278999999995
72 N. Union,Sparta,Kent,Michigan,49345,-85.7072,43.1624
Main St. & Liberty St.,Sumter,Sumter,South Carolina,29151,-80.3417,33.9204
101 S. Main Street,Sylvester ,Worth,Georgia,31791,-83.83565540000001,31.5252235
Clinton Square,Syracuse,Onondaga,New York,13202,-76.1528314,43.0509435
9th & Cherry Streets,Terre Haute,Vigo,Indiana,47807,-87.4044397,39.4675452
120 S. Tift Ave.,Tifton,Tift,Georgia,31794,-83.508489,31.452692
12th & Harrison,"Topeka, Kansas",Shawnee,Kansas,66618,-95.72514,39.047915
10th Street,Tracy,San Joaquin,California,95376,-121.42688500000001,37.738328
Cherry Street ,Troy,Miami,Ohio,45373,-84.204574,40.039448
Third and Boston,Tulsa,Tulsa,Oklahoma,74101,-95.99038,36.15396
Main Street,Uniontown,Fayette,Pennsylvania,15401,-79.72486500000001,39.901284000000004
